trial_number,state,value,duration_s,params_json
0,COMPLETE,0.21118012070655823,3.676397,"{""batch_size"": 128, ""blocks_per_stage"": 2, ""lr"": 0.01, ""n_stages"": 3, ""optimizer"": ""sgd"", ""scheduler"": ""none"", ""weight_decay"": 0.0005, ""width"": 64}"
1,COMPLETE,0.16149067878723145,2.181298,"{""batch_size"": 256, ""blocks_per_stage"": 1, ""lr"": 0.02416482602989751, ""n_stages"": 3, ""optimizer"": ""sgd"", ""scheduler"": ""step"", ""weight_decay"": 3.511356313970405e-05, ""width"": 32}"
2,COMPLETE,0.09937888383865356,1.632648,"{""batch_size"": 128, ""blocks_per_stage"": 3, ""lr"": 0.0028804169778805498, ""n_stages"": 3, ""optimizer"": ""sgd"", ""scheduler"": ""cosine"", ""weight_decay"": 1.5673095467235405e-05, ""width"": 64}"
3,COMPLETE,0.8136646151542664,3.187577,"{""batch_size"": 64, ""blocks_per_stage"": 3, ""lr"": 0.003939675937754723, ""n_stages"": 3, ""optimizer"": ""sgd"", ""scheduler"": ""cosine"", ""weight_decay"": 0.008105016126411584, ""width"": 64}"
4,COMPLETE,0.08074533939361572,0.747825,"{""batch_size"": 256, ""blocks_per_stage"": 3, ""lr"": 0.08071418522169696, ""n_stages"": 2, ""optimizer"": ""adamw"", ""scheduler"": ""none"", ""weight_decay"": 1.6736010167825783e-05, ""width"": 32}"
5,COMPLETE,0.5093167424201965,1.551659,"{""batch_size"": 64, ""blocks_per_stage"": 2, ""lr"": 0.09683377710407785, ""n_stages"": 2, ""optimizer"": ""adamw"", ""scheduler"": ""cosine"", ""weight_decay"": 0.0015446089075047066, ""width"": 32}"
6,COMPLETE,0.20496894419193268,2.06164,"{""batch_size"": 256, ""blocks_per_stage"": 2, ""lr"": 0.0011441689901040717, ""n_stages"": 2, ""optimizer"": ""adamw"", ""scheduler"": ""step"", ""weight_decay"": 0.005280796376895365, ""width"": 64}"
7,COMPLETE,0.20496894419193268,1.198945,"{""batch_size"": 128, ""blocks_per_stage"": 2, ""lr"": 0.07067625933120901, ""n_stages"": 3, ""optimizer"": ""adamw"", ""scheduler"": ""step"", ""weight_decay"": 8.995191735587162e-05, ""width"": 64}"
8,PRUNED,0.17391304671764374,0.473158,"{""batch_size"": 256, ""blocks_per_stage"": 1, ""lr"": 0.14779628299679287, ""n_stages"": 3, ""optimizer"": ""adamw"", ""scheduler"": ""cosine"", ""weight_decay"": 0.007715105777813051, ""width"": 32}"
