run_id,arm,seed_init,epoch,train_loss,train_acc,val_loss,val_acc,lr
mlp-mnist-2026-08-23_15-27-50,baseline,42,0,0.5437626838684082,0.826960027217865,0.16283570230007172,0.9505000114440918,0.001
mlp-mnist-2026-08-23_15-27-50,baseline,42,1,0.2771451473236084,0.9131199717521667,0.14133499562740326,0.9573000073432922,0.001
mlp-mnist-2026-08-23_15-27-50,baseline,42,2,0.23086854815483093,0.9281799793243408,0.09961266815662384,0.9703999757766724,0.001
mlp-mnist-2026-08-23_15-27-50,baseline,42,3,0.202659472823143,0.9375600218772888,0.09593767672777176,0.9707000255584717,0.001
mlp-mnist-2026-08-23_15-27-50,baseline,42,4,0.1916121244430542,0.9417999982833862,0.09352006018161774,0.972100019454956,0.001
mlp-mnist-2026-08-23_15-27-50,baseline,42,5,0.18360425531864166,0.9452199935913086,0.077876016497612,0.9757999777793884,0.001
mlp-mnist-2026-08-23_15-27-50,baseline,42,6,0.17403492331504822,0.9468399882316589,0.0739392414689064,0.9767000079154968,0.001
mlp-mnist-2026-08-23_15-27-50,baseline,42,7,0.16898655891418457,0.948199987411499,0.07594121247529984,0.9771000146865845,0.001
mlp-mnist-2026-08-23_15-27-50,baseline,43,0,0.5568177700042725,0.8240799903869629,0.18643051385879517,0.9423999786376953,0.001
mlp-mnist-2026-08-23_15-27-50,baseline,43,1,0.28460171818733215,0.9111800193786621,0.13731826841831207,0.9585999846458435,0.001
mlp-mnist-2026-08-23_15-27-50,baseline,43,2,0.23454536497592926,0.9258800148963928,0.10531339049339294,0.9684000015258789,0.001
mlp-mnist-2026-08-23_15-27-50,baseline,43,3,0.2092919945716858,0.9360600113868713,0.10090915113687515,0.9675999879837036,0.001
mlp-mnist-2026-08-23_15-27-50,baseline,43,4,0.19890479743480682,0.9384400248527527,0.09531284868717194,0.9700000286102295,0.001
mlp-mnist-2026-08-23_15-27-50,baseline,43,5,0.18884684145450592,0.9426599740982056,0.08916205912828445,0.9733999967575073,0.001
mlp-mnist-2026-08-23_15-27-50,baseline,43,6,0.18195995688438416,0.9443600177764893,0.08579016476869583,0.9728000164031982,0.001
mlp-mnist-2026-08-23_15-27-50,baseline,43,7,0.16870355606079102,0.9474999904632568,0.08476052433252335,0.9718000292778015,0.001
mlp-mnist-2026-08-23_15-27-50,baseline,44,0,0.5543633103370667,0.8234999775886536,0.2060239464044571,0.9383000135421753,0.001
mlp-mnist-2026-08-23_15-27-50,baseline,44,1,0.28108543157577515,0.9128400087356567,0.1487010419368744,0.9538999795913696,0.001
mlp-mnist-2026-08-23_15-27-50,baseline,44,2,0.23287832736968994,0.9262800216674805,0.09913240373134613,0.9674999713897705,0.001
mlp-mnist-2026-08-23_15-27-50,baseline,44,3,0.2086220383644104,0.9358400106430054,0.09122473746538162,0.9702000021934509,0.001
mlp-mnist-2026-08-23_15-27-50,baseline,44,4,0.18676650524139404,0.9426400065422058,0.09336742013692856,0.9706000089645386,0.001
