trial_number,state,value,duration_s,params_json
0,COMPLETE,0.14795319736003876,2.002461,"{""batch_size"": 64, ""dropout_rate"": 0.2, ""hidden_units"": 256, ""lr"": 0.001, ""n_layers"": 2, ""optimizer"": ""adam"", ""weight_decay"": 1e-06}"
1,COMPLETE,0.18065841495990753,0.983665,"{""batch_size"": 64, ""dropout_rate"": 0.02904180608409973, ""hidden_units"": 256, ""lr"": 0.0029621516588303515, ""n_layers"": 1, ""optimizer"": ""adam"", ""weight_decay"": 5.337032762603957e-06}"
2,COMPLETE,0.1428571492433548,0.885634,"{""batch_size"": 128, ""dropout_rate"": 0.06974693032602092, ""hidden_units"": 512, ""lr"": 0.0003135775732257748, ""n_layers"": 3, ""optimizer"": ""sgd"", ""weight_decay"": 1.5339162591163623e-06}"
3,COMPLETE,0.1428571492433548,1.69819,"{""batch_size"": 32, ""dropout_rate"": 0.15230688458668534, ""hidden_units"": 128, ""lr"": 0.00014653521030672147, ""n_layers"": 2, ""optimizer"": ""sgd"", ""weight_decay"": 1.0842262717330169e-05}"
4,COMPLETE,0.14991086721420288,0.75897,"{""batch_size"": 128, ""dropout_rate"": 0.3875664116805573, ""hidden_units"": 128, ""lr"": 0.003946212980759096, ""n_layers"": 3, ""optimizer"": ""adamw"", ""weight_decay"": 2.0013420622879995e-05}"
5,COMPLETE,0.1428571492433548,1.095968,"{""batch_size"": 64, ""dropout_rate"": 0.07046211248738132, ""hidden_units"": 512, ""lr"": 0.0023062618121677952, ""n_layers"": 3, ""optimizer"": ""sgd"", ""weight_decay"": 0.0006720930050156114}"
6,COMPLETE,0.1428571492433548,0.785823,"{""batch_size"": 128, ""dropout_rate"": 0.31164906341377896, ""hidden_units"": 256, ""lr"": 0.0003649100451857361, ""n_layers"": 3, ""optimizer"": ""sgd"", ""weight_decay"": 7.742116473996259e-05}"
7,COMPLETE,0.1500389575958252,1.047982,"{""batch_size"": 64, ""dropout_rate"": 0.26136641469099703, ""hidden_units"": 512, ""lr"": 0.0005325732706437209, ""n_layers"": 2, ""optimizer"": ""adam"", ""weight_decay"": 0.004268407710065497}"
8,COMPLETE,0.1428571492433548,0.761587,"{""batch_size"": 128, ""dropout_rate"": 0.08061064362700221, ""hidden_units"": 512, ""lr"": 0.0037977679442478553, ""n_layers"": 3, ""optimizer"": ""sgd"", ""weight_decay"": 0.00014367095138664247}"
