trial_number,state,value,duration_s,params_json
0,COMPLETE,0.19759374856948853,1.765361,"{""batch_size"": 64, ""lr"": 0.001, ""optimizer"": ""adam"", ""weight_decay"": 1e-06}"
1,COMPLETE,0.21417942643165588,1.521325,"{""batch_size"": 32, ""lr"": 0.0005611516415334506, ""optimizer"": ""adam"", ""weight_decay"": 0.0029154431891537554}"
2,COMPLETE,0.20839554071426392,0.726279,"{""batch_size"": 128, ""lr"": 0.0015930522616241021, ""optimizer"": ""adam"", ""weight_decay"": 5.415244119402541e-06}"
3,COMPLETE,0.19430115818977356,1.514889,"{""batch_size"": 32, ""lr"": 0.0004059611610484307, ""optimizer"": ""adam"", ""weight_decay"": 2.9204338471814107e-05}"
4,COMPLETE,0.19624446332454681,1.454777,"{""batch_size"": 32, ""lr"": 0.000816845589476017, ""optimizer"": ""sgd"", ""weight_decay"": 4.809461967501575e-06}"
5,PRUNED,0.15413632988929749,0.862425,"{""batch_size"": 64, ""lr"": 0.00013492834268013249, ""optimizer"": ""sgd"", ""weight_decay"": 5.762487216478604e-05}"
6,PRUNED,0.17833831906318665,0.68071,"{""batch_size"": 128, ""lr"": 0.00017541893487450815, ""optimizer"": ""adamw"", ""weight_decay"": 0.00012030178871154674}"
7,COMPLETE,0.2247488647699356,0.935573,"{""batch_size"": 64, ""lr"": 0.0012399967836846098, ""optimizer"": ""adam"", ""weight_decay"": 0.0048696409415209}"
8,PRUNED,0.1517612338066101,0.725787,"{""batch_size"": 128, ""lr"": 0.00015030900645056822, ""optimizer"": ""sgd"", ""weight_decay"": 2.67308831078167e-05}"
