run_id,model,dataset,subset,budget,arm,seed_init,seed_data,seed_split,split,acc
cnn-medmnist-2026-08-23_14-21-30,cnn,medmnist,breastmnist,smoke,baseline,42,42,official,val,0.7307692307692307
cnn-medmnist-2026-08-23_14-21-30,cnn,medmnist,breastmnist,smoke,baseline,42,42,official,test,0.7307692307692307
cnn-medmnist-2026-08-23_14-21-30,cnn,medmnist,breastmnist,smoke,baseline,43,42,official,val,0.7435897435897436
cnn-medmnist-2026-08-23_14-21-30,cnn,medmnist,breastmnist,smoke,baseline,43,42,official,test,0.6987179487179487
cnn-medmnist-2026-08-23_14-21-30,cnn,medmnist,breastmnist,smoke,tuned,42,42,official,val,0.7307692307692307
cnn-medmnist-2026-08-23_14-21-30,cnn,medmnist,breastmnist,smoke,tuned,42,42,official,test,0.7307692307692307
cnn-medmnist-2026-08-23_14-21-30,cnn,medmnist,breastmnist,smoke,tuned,43,42,official,val,0.7435897435897436
cnn-medmnist-2026-08-23_14-21-30,cnn,medmnist,breastmnist,smoke,tuned,43,42,official,test,0.6987179487179487
