run_id,arm,seed_init,epoch,train_loss,train_acc,val_loss,val_acc,lr
resnet-mnist-2026-08-23_15-37-53,baseline,42,0,0.18283720314502716,0.942080020904541,0.05565445497632027,0.9818000197410583,0.01
resnet-mnist-2026-08-23_15-37-53,baseline,42,1,0.0505785271525383,0.9843000173568726,0.03375162184238434,0.9894999861717224,0.01
resnet-mnist-2026-08-23_15-37-53,baseline,42,2,0.040313560515642166,0.9872599840164185,0.03547557443380356,0.9886999726295471,0.01
resnet-mnist-2026-08-23_15-37-53,baseline,42,3,0.03259506821632385,0.9901400208473206,0.027628421783447266,0.9909999966621399,0.01
resnet-mnist-2026-08-23_15-37-53,baseline,42,4,0.030894676223397255,0.9906200170516968,0.01976955495774746,0.9940999746322632,0.01
resnet-mnist-2026-08-23_15-37-53,baseline,42,5,0.02707301825284958,0.9915800094604492,0.025531340390443802,0.9919999837875366,0.01
resnet-mnist-2026-08-23_15-37-53,baseline,42,6,0.025594931095838547,0.9922000169754028,0.02599531225860119,0.9932000041007996,0.01
resnet-mnist-2026-08-23_15-37-53,baseline,42,7,0.024738235399127007,0.992139995098114,0.018667107447981834,0.9941999912261963,0.01
resnet-mnist-2026-08-23_15-37-53,baseline,43,0,0.18611909449100494,0.9413800239562988,0.05047216638922691,0.9836000204086304,0.01
resnet-mnist-2026-08-23_15-37-53,baseline,43,1,0.050850726664066315,0.9846400022506714,0.04991123825311661,0.984499990940094,0.01
resnet-mnist-2026-08-23_15-37-53,baseline,43,2,0.040486108511686325,0.9873200058937073,0.045815952122211456,0.98580002784729,0.01
resnet-mnist-2026-08-23_15-37-53,baseline,43,3,0.03231561556458473,0.9902600049972534,0.03261072188615799,0.9896000027656555,0.01
resnet-mnist-2026-08-23_15-37-53,baseline,43,4,0.030344104394316673,0.990339994430542,0.021232204511761665,0.9934999942779541,0.01
resnet-mnist-2026-08-23_15-37-53,baseline,43,5,0.02823059819638729,0.990880012512207,0.027151314541697502,0.9918000102043152,0.01
resnet-mnist-2026-08-23_15-37-53,baseline,43,6,0.02639998495578766,0.9921600222587585,0.025562327355146408,0.9918000102043152,0.01
resnet-mnist-2026-08-23_15-37-53,baseline,43,7,0.024789374321699142,0.9921799898147583,0.018986064940690994,0.9944000244140625,0.01
resnet-mnist-2026-08-23_15-37-53,baseline,44,0,0.1789165437221527,0.9435200095176697,0.08117728680372238,0.9758999943733215,0.01
resnet-mnist-2026-08-23_15-37-53,baseline,44,1,0.05011453106999397,0.9850000143051147,0.03624254837632179,0.9887999892234802,0.01
resnet-mnist-2026-08-23_15-37-53,baseline,44,2,0.04058506712317467,0.9872599840164185,0.04591270536184311,0.9854000210762024,0.01
resnet-mnist-2026-08-23_15-37-53,baseline,44,3,0.03166860342025757,0.9904800057411194,0.028946898877620697,0.9904999732971191,0.01
resnet-mnist-2026-08-23_15-37-53,baseline,44,4,0.030371757224202156,0.9908199906349182,0.021765099838376045,0.992900013923645,0.01
resnet-mnist-2026-08-23_15-37-53,baseline,44,5,0.02801061049103737,0.991599977016449,0.026398058980703354,0.9922000169754028,0.01
resnet-mnist-2026-08-23_15-37-53,baseline,44,6,0.02594590373337269,0.991919994354248,0.026889489963650703,0.9915000200271606,0.01
resnet-mnist-2026-08-23_15-37-53,baseline,44,7,0.024642478674650192,0.9925000071525574,0.017800088971853256,0.9947999715805054,0.01
resnet-mnist-2026-08-23_15-37-53,tuned,42,0,0.19735226035118103,0.9396600127220154,0.07565996795892715,0.9779000282287598,0.003789730950686761
resnet-mnist-2026-08-23_15-37-53,tuned,42,1,0.056411150842905045,0.984220027923584,0.10454580932855606,0.9700000286102295,0.003362723754509279
resnet-mnist-2026-08-23_15-37-53,tuned,42,2,0.05035846680402756,0.9865000247955322,0.04570325091481209,0.9871000051498413,0.0027236623240104274
resnet-mnist-2026-08-23_15-37-53,tuned,42,3,0.042230233550071716,0.9896000027656555,0.055562712252140045,0.9847000241279602,0.0019698379688773615
resnet-mnist-2026-08-23_15-37-53,tuned,42,4,0.0404379777610302,0.9901400208473206,0.026473410427570343,0.9926000237464905,0.001216013613744296
resnet-mnist-2026-08-23_15-37-53,tuned,42,5,0.03282985836267471,0.9922999739646912,0.024996379390358925,0.9936000108718872,0.0005769521832454439
