run_id,model,dataset,subset,budget,arm,seed_init,seed_data,seed_split,split,acc
cnn-medmnist-2026-08-23_17-16-01,cnn,medmnist,breastmnist,screening,baseline,42,42,official,val,0.7307692307692307
cnn-medmnist-2026-08-23_17-16-01,cnn,medmnist,breastmnist,screening,baseline,42,42,official,test,0.7307692307692307
cnn-medmnist-2026-08-23_17-16-01,cnn,medmnist,breastmnist,screening,baseline,43,42,official,val,0.8205128205128205
cnn-medmnist-2026-08-23_17-16-01,cnn,medmnist,breastmnist,screening,baseline,43,42,official,test,0.8076923076923077
cnn-medmnist-2026-08-23_17-16-01,cnn,medmnist,breastmnist,screening,baseline,44,42,official,val,0.782051282051282
cnn-medmnist-2026-08-23_17-16-01,cnn,medmnist,breastmnist,screening,baseline,44,42,official,test,0.7692307692307693
cnn-medmnist-2026-08-23_17-16-01,cnn,medmnist,breastmnist,screening,tuned,42,42,official,val,0.8717948717948718
cnn-medmnist-2026-08-23_17-16-01,cnn,medmnist,breastmnist,screening,tuned,42,42,official,test,0.8397435897435898
cnn-medmnist-2026-08-23_17-16-01,cnn,medmnist,breastmnist,screening,tuned,43,42,official,val,0.8974358974358975
cnn-medmnist-2026-08-23_17-16-01,cnn,medmnist,breastmnist,screening,tuned,43,42,official,test,0.8461538461538461
cnn-medmnist-2026-08-23_17-16-01,cnn,medmnist,breastmnist,screening,tuned,44,42,official,val,0.9102564102564102
cnn-medmnist-2026-08-23_17-16-01,cnn,medmnist,breastmnist,screening,tuned,44,42,official,test,0.8461538461538461
