trial_number,state,value,duration_s,params_json
0,COMPLETE,0.6967418193817139,1.652789,"{""batch_size"": 64, ""dropout_rate"": 0.5, ""fc_units"": 128, ""lr"": 0.001, ""n_conv_blocks"": 2, ""num_filters"": 32, ""optimizer"": ""adam"", ""weight_decay"": 1e-06}"
1,COMPLETE,0.689223051071167,0.82225,"{""batch_size"": 32, ""dropout_rate"": 0.0936111842654619, ""fc_units"": 256, ""lr"": 0.0044447541666908135, ""n_conv_blocks"": 2, ""num_filters"": 32, ""optimizer"": ""sgd"", ""weight_decay"": 5.34293726127978e-05}"
2,COMPLETE,0.6428571939468384,0.545573,"{""batch_size"": 128, ""dropout_rate"": 0.219817105976215, ""fc_units"": 128, ""lr"": 0.001076962247826313, ""n_conv_blocks"": 2, ""num_filters"": 32, ""optimizer"": ""adam"", ""weight_decay"": 2.4586032763280077e-06}"
3,COMPLETE,0.5,0.767441,"{""batch_size"": 32, ""dropout_rate"": 0.020633112669131037, ""fc_units"": 64, ""lr"": 0.0002060924941320236, ""n_conv_blocks"": 3, ""num_filters"": 16, ""optimizer"": ""sgd"", ""weight_decay"": 2.259279742015697e-06}"
4,COMPLETE,0.804511308670044,1.094212,"{""batch_size"": 32, ""dropout_rate"": 0.16280941906433755, ""fc_units"": 64, ""lr"": 0.00013386261584543918, ""n_conv_blocks"": 3, ""num_filters"": 128, ""optimizer"": ""adamw"", ""weight_decay"": 0.0008241925264876454}"
5,PRUNED,0.6102756857872009,0.485195,"{""batch_size"": 32, ""dropout_rate"": 0.5178620555253561, ""fc_units"": 64, ""lr"": 0.001211130719559933, ""n_conv_blocks"": 3, ""num_filters"": 16, ""optimizer"": ""adamw"", ""weight_decay"": 0.0012130221181165164}"
6,PRUNED,0.5,0.451751,"{""batch_size"": 32, ""dropout_rate"": 0.06473485619598267, ""fc_units"": 128, ""lr"": 0.0004979987773685088, ""n_conv_blocks"": 2, ""num_filters"": 32, ""optimizer"": ""sgd"", ""weight_decay"": 0.0017079750342958238}"
7,PRUNED,0.5,40.756855,"{""batch_size"": 64, ""dropout_rate"": 0.5355353990939866, ""fc_units"": 256, ""lr"": 0.0005316714274124606, ""n_conv_blocks"": 3, ""num_filters"": 32, ""optimizer"": ""adam"", ""weight_decay"": 3.0162092627967784e-06}"
8,PRUNED,0.5,0.352215,"{""batch_size"": 64, ""dropout_rate"": 0.4218113753371067, ""fc_units"": 128, ""lr"": 0.00030474420508418105, ""n_conv_blocks"": 2, ""num_filters"": 32, ""optimizer"": ""sgd"", ""weight_decay"": 9.083381663660597e-06}"
