run_id,arm,seed_init,epoch,train_loss,train_acc,val_loss,val_acc,lr
cnn-mnist-2026-08-23_15-31-20,baseline,42,0,0.5192400813102722,0.8336799740791321,0.08520614355802536,0.9728999733924866,0.001
cnn-mnist-2026-08-23_15-31-20,baseline,42,1,0.26195022463798523,0.917680025100708,0.05603959783911705,0.9837999939918518,0.001
cnn-mnist-2026-08-23_15-31-20,baseline,42,2,0.2231578677892685,0.9324600100517273,0.04743252694606781,0.984000027179718,0.001
cnn-mnist-2026-08-23_15-31-20,baseline,42,3,0.18975390493869781,0.9422399997711182,0.05474099889397621,0.9837999939918518,0.001
cnn-mnist-2026-08-23_15-31-20,baseline,42,4,0.17374013364315033,0.9470400214195251,0.036735616624355316,0.9891999959945679,0.001
cnn-mnist-2026-08-23_15-31-20,baseline,42,5,0.1559881716966629,0.9516199827194214,0.044210284948349,0.9878000020980835,0.001
cnn-mnist-2026-08-23_15-31-20,baseline,42,6,0.14683276414871216,0.9549999833106995,0.03394322469830513,0.9894000291824341,0.001
cnn-mnist-2026-08-23_15-31-20,baseline,42,7,0.13750877976417542,0.9582200050354004,0.03826218470931053,0.9878000020980835,0.001
cnn-mnist-2026-08-23_15-31-20,baseline,43,0,0.5134022831916809,0.8361600041389465,0.07943625003099442,0.9745000004768372,0.001
cnn-mnist-2026-08-23_15-31-20,baseline,43,1,0.2581188380718231,0.9207199811935425,0.06199552118778229,0.9799000024795532,0.001
cnn-mnist-2026-08-23_15-31-20,baseline,43,2,0.222782701253891,0.9309200048446655,0.047027312219142914,0.9854999780654907,0.001
cnn-mnist-2026-08-23_15-31-20,baseline,43,3,0.18846994638442993,0.9418799877166748,0.06651576608419418,0.9796000123023987,0.001
cnn-mnist-2026-08-23_15-31-20,baseline,43,4,0.16860589385032654,0.9479799866676331,0.040922388434410095,0.9873999953269958,0.001
cnn-mnist-2026-08-23_15-31-20,baseline,43,5,0.1566823124885559,0.9528999924659729,0.037081893533468246,0.9890999794006348,0.001
cnn-mnist-2026-08-23_15-31-20,baseline,43,6,0.14701256155967712,0.9557399749755859,0.03815975785255432,0.9886999726295471,0.001
cnn-mnist-2026-08-23_15-31-20,baseline,43,7,0.13407649099826813,0.9593600034713745,0.03625401481986046,0.9896000027656555,0.001
cnn-mnist-2026-08-23_15-31-20,baseline,44,0,0.5230116248130798,0.8309999704360962,0.07179757952690125,0.9790999889373779,0.001
cnn-mnist-2026-08-23_15-31-20,baseline,44,1,0.26130664348602295,0.9184600114822388,0.05961201712489128,0.9812999963760376,0.001
cnn-mnist-2026-08-23_15-31-20,baseline,44,2,0.2180480659008026,0.9333400130271912,0.04620959982275963,0.9854000210762024,0.001
cnn-mnist-2026-08-23_15-31-20,baseline,44,3,0.18874503672122955,0.941860020160675,0.08866749703884125,0.9749000072479248,0.001
cnn-mnist-2026-08-23_15-31-20,baseline,44,4,0.17046205699443817,0.9474400281906128,0.05347627401351929,0.9848999977111816,0.001
cnn-mnist-2026-08-23_15-31-20,baseline,44,5,0.15082649886608124,0.9541400074958801,0.03395691141486168,0.9891999959945679,0.001
cnn-mnist-2026-08-23_15-31-20,baseline,44,6,0.14355920255184174,0.9565399885177612,0.03658415377140045,0.9890999794006348,0.001
cnn-mnist-2026-08-23_15-31-20,baseline,44,7,0.13547471165657043,0.9594600200653076,0.041675765067338943,0.9868000149726868,0.001
cnn-mnist-2026-08-23_15-31-20,tuned,42,0,0.2848556637763977,0.9205999970436096,0.059914905577898026,0.9822999835014343,0.00013386261584543918
cnn-mnist-2026-08-23_15-31-20,tuned,42,1,0.09486617892980576,0.9706799983978271,0.04003341123461723,0.9882000088691711,0.00013386261584543918
cnn-mnist-2026-08-23_15-31-20,tuned,42,2,0.07429984956979752,0.9779000282287598,0.03726125881075859,0.989300012588501,0.00013386261584543918
cnn-mnist-2026-08-23_15-31-20,tuned,42,3,0.061301931738853455,0.9815800189971924,0.05504700914025307,0.9847000241279602,0.00013386261584543918
cnn-mnist-2026-08-23_15-31-20,tuned,42,4,0.0550282746553421,0.9836199879646301,0.03642047569155693,0.9882000088691711,0.00013386261584543918
cnn-mnist-2026-08-23_15-31-20,tuned,42,5,0.0476885586977005,0.9852399826049805,0.027659643441438675,0.9922000169754028,0.00013386261584543918
cnn-mnist-2026-08-23_15-31-20,tuned,42,6,0.046450044959783554,0.9861400127410889,0.028114385902881622,0.9909999966621399,0.00013386261584543918
cnn-mnist-2026-08-23_15-31-20,tuned,42,7,0.042398784309625626,0.9872199892997742,0.028899243101477623,0.9902999997138977,0.00013386261584543918
cnn-mnist-2026-08-23_15-31-20,tuned,43,0,0.2854013741016388,0.9204599857330322,0.061893731355667114,0.9821000099182129,0.00013386261584543918
cnn-mnist-2026-08-23_15-31-20,tuned,43,1,0.09858912229537964,0.9711599946022034,0.04684006795287132,0.9865999817848206,0.00013386261584543918
cnn-mnist-2026-08-23_15-31-20,tuned,43,2,0.07804913073778152,0.9763799905776978,0.03921425715088844,0.9886999726295471,0.00013386261584543918
cnn-mnist-2026-08-23_15-31-20,tuned,43,3,0.06451430916786194,0.9807800054550171,0.06369299441576004,0.9815999865531921,0.00013386261584543918
cnn-mnist-2026-08-23_15-31-20,tuned,43,4,0.058093082159757614,0.9825999736785889,0.037246670573949814,0.9878000020980835,0.00013386261584543918
