trial_number,state,value,duration_s,params_json
0,COMPLETE,0.28650757670402527,6.768702,"{""batch_size"": 128, ""blocks_per_stage"": 2, ""lr"": 0.01, ""n_stages"": 3, ""optimizer"": ""sgd"", ""scheduler"": ""none"", ""weight_decay"": 0.0005, ""width"": 64}"
1,COMPLETE,0.16978201270103455,2.839394,"{""batch_size"": 256, ""blocks_per_stage"": 1, ""lr"": 0.02416482602989751, ""n_stages"": 3, ""optimizer"": ""sgd"", ""scheduler"": ""step"", ""weight_decay"": 3.511356313970405e-05, ""width"": 32}"
2,COMPLETE,0.31564953923225403,6.994266,"{""batch_size"": 128, ""blocks_per_stage"": 3, ""lr"": 0.0028804169778805498, ""n_stages"": 3, ""optimizer"": ""sgd"", ""scheduler"": ""cosine"", ""weight_decay"": 1.5673095467235405e-05, ""width"": 64}"
3,COMPLETE,0.35288727283477783,7.856203,"{""batch_size"": 64, ""blocks_per_stage"": 3, ""lr"": 0.003939675937754723, ""n_stages"": 3, ""optimizer"": ""sgd"", ""scheduler"": ""cosine"", ""weight_decay"": 0.008105016126411584, ""width"": 64}"
4,COMPLETE,0.19968466460704803,2.17292,"{""batch_size"": 256, ""blocks_per_stage"": 3, ""lr"": 0.08071418522169696, ""n_stages"": 2, ""optimizer"": ""adamw"", ""scheduler"": ""none"", ""weight_decay"": 1.6736010167825783e-05, ""width"": 32}"
5,PRUNED,0.16109709441661835,2.57286,"{""batch_size"": 64, ""blocks_per_stage"": 2, ""lr"": 0.09683377710407785, ""n_stages"": 2, ""optimizer"": ""adamw"", ""scheduler"": ""cosine"", ""weight_decay"": 0.0015446089075047066, ""width"": 32}"
6,COMPLETE,0.32962754368782043,4.400302,"{""batch_size"": 256, ""blocks_per_stage"": 2, ""lr"": 0.0011441689901040717, ""n_stages"": 2, ""optimizer"": ""adamw"", ""scheduler"": ""step"", ""weight_decay"": 0.005280796376895365, ""width"": 64}"
7,PRUNED,0.1428571492433548,4.732016,"{""batch_size"": 128, ""blocks_per_stage"": 2, ""lr"": 0.07067625933120901, ""n_stages"": 3, ""optimizer"": ""adamw"", ""scheduler"": ""step"", ""weight_decay"": 8.995191735587162e-05, ""width"": 64}"
8,PRUNED,0.16127048432826996,1.187,"{""batch_size"": 256, ""blocks_per_stage"": 1, ""lr"": 0.14779628299679287, ""n_stages"": 3, ""optimizer"": ""adamw"", ""scheduler"": ""cosine"", ""weight_decay"": 0.007715105777813051, ""width"": 32}"
